"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"Rbm43",11.0448,8.46157,8.92894,7.95321,7.36602,15.3286,8.51202,13.1645,8.58678
"Rbm44",0.383145,0.358768,0.504771,0,0,0,0.66621,0,1.39792
"Rbm45",20.8882,23.9339,20.6392,19.1579,20.163,23.9765,17.2043,21.9337,27.8273
"Rbm46",0,0,0,0,0,0,0,0,0
"Rbm46os",0,0,0,0,0,0,0,0,0
"Rbm47",2.24911,0.729078,1.64131,0,0,0,0,0.236674,0.852251
"Rbm48",3.72216,3.07527,3.46145,2.77488,6.42501,1.91004,6.2817,5.99078,8.08837
"Rbm4b",2.86148,4.01905,1.13095,0,3.14883,2.49625,3.73164,7.17695,7.04717
"Rbm5",31.9815,29.7197,37.665,41.9648,42.6584,30.9994,49.2899,58.9264,47.2932
"Rbm6",16.8554,18.0582,18.8589,20.1576,24.7896,24.2816,24.8904,26.8906,39.8966
"Rbm7",30.5445,23.6002,20.61,40.3874,20.1904,30.3273,28.7128,35.0096,29.8005
"Rbm8a",40.7455,46.4062,54.9916,35.5103,58.0578,45.5207,60.4878,55.5233,61.6103
"Rbms1",57.1842,56.2112,55.4153,29.6157,21.6153,21.2718,33.7703,22.2394,35.0307
"Rbms2",2.88676,2.8775,1.84023,1.77026,1.70788,1.62471,1.94302,1.27396,1.52891
"Rbms3",0,0,0,0,0,0,0,0,0
"Rbmx",12.9225,18.8023,15.649,18.4947,25.235,30.9121,30.9794,27.6436,36.7953
"Rbmx2",4.83666,3.8212,5.97376,11.4933,8.8706,7.91122,6.30745,9.64961,17.371
"Rbmxl1",226.992,214.426,217.362,242.011,256.252,297.135,237.608,235.459,301.797
"Rbmxl2",0.366737,0,0,2.32392,0,0,0,0,0
"Rbmy",0,0,0,0,0,0,0,0,0
"Rbp1",0.192148,0,0,0,0,0,0,0,0
"Rbp2",0,0,0,0,0,0,0,0,0
"Rbp3",0,0,0,0,0,0,0,0,0
"Rbp4",0,0,0,0,0,0,0,0,0
"Rbp7",0,0,0,0,0,0,0,0,0
"Rbpj",18.1378,15.181,13.6883,7.93922,13.4589,14.0525,13.8089,19.7073,10.3294
"Rbpjl",0.206718,0,0,0,0,0,0,0,0
"Rbpms",9.37361,10.9711,16.4663,6.60012,0,13.6293,10.8663,1.18744,1.42507
"Rbpms2",0.265606,0,0,0,0,0,0.69275,0,0.363403
"Rbx1",67.964,66.64,51.9492,46.7238,52.9167,67.1199,64.3831,51.8988,82.9002
"Rc3h1",2.97558,3.14972,3.23838,3.82575,2.68911,2.2572,2.92438,2.85152,3.95319
"Rc3h2",1.22474,1.19669,2.31674,1.01229,0.780434,1.85925,1.11108,1.21415,1.74955
"Rcan1",2.86047,1.3133,6.00397,4.1255,3.18409,0,3.96209,0,1.59916
"Rcan2",0,0,0,0,0,0,0,0,0
"Rcan3",0.479495,0.404091,0.379024,1.21538,0.703529,0,0.250122,1.0933,0.262419
"Rcbtb1",5.66646,5.4828,7.9629,10.3731,5.54266,5.49245,5.58324,5.45518,4.65172
"Rcbtb2",9.17814,6.80058,9.80835,9.27041,7.18291,3.82383,6.25327,8.98777,8.45247
"Rcc1",71.7533,66.5075,52.0838,46.7067,65.5695,74.0419,56.6365,68.28,79.1503
"Rcc2",155.953,174.98,156.032,133.366,116.519,85.5287,110.127,77.4967,93.1842
"Rccd1",1.74342,0.306089,0,4.14286,1.59874,0,1.70518,3.47829,3.87619
"Rce1",14.9758,19.9821,10.3581,21.3521,6.86653,9.79824,14.6474,23.0489,10.245
"Rchy1",9.69026,7.52179,8.62906,5.18807,8.00845,11.9039,7.98105,16.8615,16.05
"Rcl1",47.1372,58.4409,59.8005,51.6267,64.038,60.9196,59.9535,35.826,57.3274
"Rcn1",7.00372,8.69328,7.72492,1.03211,1.19489,0,2.54888,0.371378,2.89704
"Rcn2",21.4566,29.9785,42.1679,35.5698,30.8975,28.7147,21.9744,15.5877,21.5183
"Rcn3",4.46762,6.27486,4.41437,4.71838,1.36563,0,1.94206,0.84889,1.01877
"Rcor1",7.76611,8.05108,10.2314,4.68685,8.13903,9.67837,14.9504,13.0699,11.8906
"Rcor2",1.28555,3.61121,2.03236,1.62924,0,2.24293,0.67059,0.586239,2.46245
"Rcor3",4.36889,4.55867,1.28228,4.11363,5.95311,2.83149,3.38627,3.70043,7.10574
"Rcsd1",32.474,44.2867,44.7732,59.6177,40.1673,52.7051,53.6753,49.9374,46.2417
"Rcvrn",0,0,0,0,0,0,0,0,0
"Rd3",0,0,0,0,0,0,0,0.616707,0.555074
"Rd3l",0,1.16881,0,0,0,0,2.17062,0,0
"Rdh1",0,0,0,0,0,0,0.329583,0,0
"Rdh10",0.22261,0.625332,0.879826,1.41063,0,1.94197,0.580608,0,0.609152
"Rdh11",28.8571,27.6561,30.8613,53.7825,70.9817,71.0791,44.2733,56.5084,45.0564
"Rdh12",4.4303,5.33356,3.75214,12.0316,8.12532,13.803,9.90432,15.8739,6.06155
"Rdh13",2.78703,2.86945,2.01857,7.55186,4.37138,7.15148,5.32851,2.32906,3.36468
"Rdh14",7.70148,8.75652,14.4946,20.9153,6.72609,3.19928,12.4347,4.18101,4.51594
"Rdh16",0,0,0,0,0,0,0,0,0
"Rdh18-ps",0,0,0,0,0,0,0,0,0
"Rdh19",0,0,0,0,0,0,0,0,0
"Rdh5",0.440143,0,0,0,0,0,0,0,0
"Rdh7",0,0,0,0,0,0,0,0,0
"Rdh8",0,0,0,0,0,0,0,0,0
"Rdh9",0,0.262208,0,0,0,0,0,0,0
"Rdm1",12.4709,13.1364,8.21482,3.29271,1.906,13.5989,13.5526,4.73916,12.0861
"Rdx",86.7117,89.7405,126.265,79.5254,97.2981,139.361,128.71,112.008,87.485
"Rec8",0.251424,0,0,0,0,0,0,0,0
"Reck",0,0.154716,0.435356,0,0,0,0,0,0
"Recql",15.4426,15.3462,22.5358,10.5386,22.6569,14.5047,9.91429,20.5845,16.5747
"Recql4",8.64421,5.45481,3.46598,3.17543,8.27153,9.83593,3.26749,5.71297,8.2275
"Recql5",7.75909,6.22751,4.86768,7.02392,4.5176,7.52082,7.06694,7.86293,6.40331
"Redrum",0,0,0,0,0,0,0,0,0
"Reep1",0,0,0,0,0,0,0.675837,0,0
"Reep2",0.270699,0,0,3.4338,0,2.36148,0.706033,0.617224,0
"Reep3",4.77484,3.97412,2.79564,5.60299,5.51364,5.39942,5.30434,7.66118,4.47612
